id,name_en,name_hans,name_hant,name_jp
2016,Academy Bottle,,校园水壶,スクールボトル
2017,Academy Bottle,,校园水壶,スクールボトル
2018,Polka-Dot Bottle,,圆点水壶,みずたまボトル
2019,Striped Bottle,,条纹水壶,ストライプボトル
2020,Diamond Bottle,,菱纹水壶,ダイヤボトル
2021,Academy Cup,,校园水杯,スクールカップ
2022,Academy Cup,,校园水杯,スクールカップ
2023,Striped Cup,,直条纹水杯,たてストライプカップ
2024,Polka-Dot Cup,,圆点水杯,みずたまカップ
2025,Flower Pattern Cup,,花朵水杯,フラワーカップ
2026,Academy Tablecloth,,校园桌巾,スクールクロス
2027,Academy Tablecloth,,校园桌巾,スクールクロス
2028,Whimsical Tablecloth,,幻彩桌巾,ファンシークロス
2029,Leafy Tablecloth,,大自然桌巾,ネイチャークロス
2030,Spooky Tablecloth,,鬼祟桌巾,うらめしクロス
2031,Academy Ball,,校园球,スクールボール
2032,Academy Ball,,校园球,スクールボール
2033,Marill Ball,,玛力露球,マリルボール
2034,Yarn Ball,,毛线球,けいとボール
2035,Cyber Ball,,电竞球,ゲーミングボール
2036,Gold Pick,,金色三明治签,ゴールドピック
2037,Silver Pick,,银色三明治签,シルバーピック
2038,Red-Flag Pick,,红旗子三明治签,あかいはたピック
2039,Blue-Flag Pick,,蓝旗子三明治签,あおいはたピック
2040,Pika-Pika Pick,,皮卡丘三明治签,ピカピカピック
2041,Winking Pika Pick,,眨眼皮卡丘三明治签,パチピカピック
2042,Vee-Vee Pick,,伊布三明治签,ブイブイピック
2043,Smiling Vee Pick,,笑脸伊布三明治签,ニコブイピック
2044,Blue Poké Ball Pick,,蓝珠珠三明治签,あおボールピック
2045,Auspicious Armor,,庆祝之铠,イワイノヨロイ
2046,Leader’s Crest,,头领凭证,かしらのしるし
2047,Pink Bottle,,粉红水壶,ピンクボトル
2048,Blue Bottle,,蓝色水壶,ブルーボトル
2049,Yellow Bottle,,黄色水壶,イエローボトル
2050,Steel Bottle (R),,红纹不锈钢水壶,Rステンレスボトル
2051,Steel Bottle (Y),,黄纹不锈钢水壶,Yステンレスボトル
2052,Steel Bottle (B),,蓝纹不锈钢水壶,Bステンレスボトル
2053,Silver Bottle,,银钛水壶,シルバーチタンボトル
2054,Barred Cup,,横条纹水杯,よこストライプカップ
2055,Diamond Pattern Cup,,菱纹水杯,ダイヤカップ
2056,Fire Pattern Cup,,火焰水杯,ファイヤーカップ
2057,Pink Cup,,粉红水杯,ピンクカップ
2058,Blue Cup,,蓝色水杯,ブルーカップ
2059,Yellow Cup,,黄色水杯,イエローカップ
2060,Pikachu Cup,,皮卡丘水杯,ピカチュウカップ
2061,Eevee Cup,,伊布水杯,イーブイカップ
2062,Slowpoke Cup,,呆呆兽水杯,ヤドンカップ
2063,Silver Cup,,银钛水杯,シルバーチタンカップ
2064,Exercise Ball,,瑜珈球,バランスボール
2065,Plaid Tablecloth (Y),,黄色格子桌巾,きいろチェッククロス
2066,Plaid Tablecloth (B),,蓝色格子桌巾,あおチェッククロス
2067,Plaid Tablecloth (R),,红色格子桌巾,あかチェッククロス
2068,B&W Grass Tablecloth,,黑白草丛桌巾,くさむらモノクロス
2069,Battle Tablecloth,,对决桌巾,しょうぶクロス
2070,Monstrous Tablecloth,,怪兽桌巾,かいじゅうクロス
2071,Striped Tablecloth,,条纹桌巾,ストライプクロス
2072,Diamond Tablecloth,,菱纹桌巾,ダイヤクロス
2073,Polka-Dot Tablecloth,,圆点桌巾,みずたまクロス
2074,Lilac Tablecloth,,紫色桌巾,パープルクロス
2075,Mint Tablecloth,,浅绿桌巾,ミントクロス
2076,Peach Tablecloth,,米色桌巾,ベージュクロス
2077,Yellow Tablecloth,,黄色桌巾,イエロークロス
2078,Blue Tablecloth,,蓝色桌巾,ブルークロス
2079,Pink Tablecloth,,粉红桌巾,ピンククロス
2080,Gold Bottle,,金钛水壶,ゴールドチタンボトル
2081,Bronze Bottle,,铜钛水壶,ブロンズチタンボトル
2082,Gold Cup,,金钛水杯,ゴールドチタンカップ
2083,Bronze Cup,,铜钛水杯,ブロンズチタンカップ
2084,Green Poké Ball Pick,,绿珠珠三明治签,みどりボールピック
2085,Red Poké Ball Pick,,红珠珠三明治签,あかボールピック
2086,Party Sparkler Pick,,烟花祝庆三明治签,おいわいはなびピック
2087,Heroic Sword Pick,,勇者之剑三明治签,ゆうしゃのけんピック
2088,Magical Star Pick,,魔法星星三明治签,マジカルスターピック
2089,Magical Heart Pick,,魔法甜心三明治签,マジカルハートピック
2090,Parasol Pick,,阳伞三明治签,パラソルピック
2091,Blue-Sky Flower Pick,,晴空花三明治签,あおぞらおはなピック
2092,Sunset Flower Pick,,夕阳花三明治签,ゆうやけおはなピック
2093,Sunrise Flower Pick,,朝霞花三明治签,あさやけおはなピック
2094,Blue Dish,,蓝色盘子,ブループレート
2095,Green Dish,,绿色盘子,グリーンプレート
2096,Orange Dish,,橘色盘子,オレンジプレート
2097,Red Dish,,红色盘子,レッドプレート
2098,White Dish,,白色盘子,ホワイトプレート
2099,Yellow Dish,,黄色盘子,イエロープレート
